fecha,capital,ganancia,%,fase,winrate,score_ia,profit_factor,brokers,volatilidad,tamano,racha,racha_count,drawdown,media_ganancia,maximo,resumen,resultado,operaciones
2025-07-28 23:15,$226.00,$0.00,0.00%,1,66.7%,0.75,1.60,Binance,1.00,2.85,-,0,0.00%,$0.00,, [HORARIO] Solo Binance (Exness cerrado), [OPERACIÓN] Ejecutada en Binance.,[BINANCE] Orden long ejecutada a las 23:15 ✅
2025-07-29 09:00,$226.00,$0.00,0.00%,1,66.7%,0.75,1.60,Binance,1.00,2.85,-,0,0.00%,$0.00,, [HORARIO] Operando ETHUSDT en Binance, [OPERACIÓN] Ejecutada en Binance (ETHUSDT).,[BINANCE] ETHUSDT Orden long ejecutada a las 09:00 ✅
2025-07-29 09:15,$226.00,$0.00,0.00%,1,66.7%,0.75,1.60,Binance,1.00,2.85,-,0,0.00%,$0.00,, [HORARIO] Operando ETHUSDT en Binance, [OPERACIÓN] Ejecutada en Binance (ETHUSDT).,[BINANCE] ETHUSDT Orden long ejecutada a las 09:15 ✅
2025-07-29 09:30,$226.00,$0.00,0.00%,1,66.7%,0.75,1.60,Binance,1.00,2.85,-,0,0.00%,$0.00,, [HORARIO] Operando ETHUSDT en Binance, [OPERACIÓN] Ejecutada en Binance (ETHUSDT).,[BINANCE] ETHUSDT Orden long ejecutada a las 09:30 ✅
2025-07-29 10:15,$226.00,$0.00,0.00%,1,66.7%,0.75,1.60,Binance,1.00,2.85,-,0,0.00%,$0.00,, [HORARIO] Operando BTCUSDT en Binance, [OPERACIÓN] Ejecutada en Binance (BTCUSDT).,[BINANCE] BTCUSDT Orden long ejecutada a las 10:15 ✅
2025-07-29 10:30,$226.00,$0.00,0.00%,1,66.7%,0.75,1.60,Binance,1.00,2.85,-,0,0.00%,$0.00,, [HORARIO] Operando BTCUSDT en Binance, [OPERACIÓN] Ejecutada en Binance (BTCUSDT).,[BINANCE] BTCUSDT Orden long ejecutada a las 10:30 ✅
2025-07-29 11:00,$226.00,$0.00,0.00%,1,66.7%,0.75,1.60,Binance,1.00,2.85,-,0,0.00%,$0.00,, [HORARIO] Operando BTCUSDT en Binance, [OPERACIÓN] Ejecutada en Binance (BTCUSDT).,[BINANCE] BTCUSDT Orden long ejecutada a las 11:00 ✅
2025-07-29 11:30,$226.00,$0.00,0.00%,1,66.7%,0.75,1.60,Binance,1.00,2.85,-,0,0.00%,$0.00,, [HORARIO] Operando BTCUSDT en Binance, [OPERACIÓN] Ejecutada en Binance (BTCUSDT).,[BINANCE] BTCUSDT Orden long ejecutada a las 11:30 ✅
2025-07-29 11:45,$226.00,$0.00,0.00%,1,66.7%,0.75,1.60,Binance,1.00,2.85,-,0,0.00%,$0.00,, [HORARIO] Operando BTCUSDT en Binance, [OPERACIÓN] Ejecutada en Binance (BTCUSDT).,[BINANCE] BTCUSDT Orden long ejecutada a las 11:45 ✅
2025-07-29 12:00,$226.00,$0.00,0.00%,1,66.7%,0.75,1.60,Binance,1.00,2.85,-,0,0.00%,$0.00,, [HORARIO] Operando BTCUSDT en Binance, [OPERACIÓN] Ejecutada en Binance (BTCUSDT).,[BINANCE] BTCUSDT Orden long ejecutada a las 12:00 ✅
2025-07-29 12:15,$226.00,$0.00,0.00%,1,66.7%,0.75,1.60,Binance,1.00,2.85,-,0,0.00%,$0.00,, [HORARIO] Operando BTCUSDT en Binance, [OPERACIÓN] Ejecutada en Binance (BTCUSDT).,[BINANCE] BTCUSDT Orden long ejecutada a las 12:15 ✅
2025-07-29 12:30,$226.00,$0.00,0.00%,1,66.7%,0.75,1.60,Binance,1.00,2.85,-,0,0.00%,$0.00,, [HORARIO] Operando BTCUSDT en Binance, [OPERACIÓN] Ejecutada en Binance (BTCUSDT).,[BINANCE] BTCUSDT Orden long ejecutada a las 12:30 ✅
